tabla,columna,categoria,tipos_detectados,accion_razon
athletes_time_df,order,no modificada,num,solo un tipo
athletes_time_df,race_id,clave protegida,str,columna protegida (clave)
athletes_time_df,rawTime,tipo otro,otro,columna protegida (tipo 'otro')
athletes_time_df,split,no modificada,str,solo un tipo
athletes_time_df,time,no modificada,num,solo un tipo
athletes_time_df,event_std,no modificada,str,solo un tipo
athletes_time_df,netTime_td,tipo otro,otro,columna protegida (tipo 'otro')
athletes_time_df,time_td,tipo otro,otro,columna protegida (tipo 'otro')
issues_df,athlete_id,modificada,"num,str",athlete_id → convertir todos a str
issues_df,event_id,clave protegida,str,columna protegida (clave)
issues_df,issue_id,clave protegida,str,columna protegida (clave)
issues_df,race_id,clave protegida,str,columna protegida (clave)
issues_df,time,tipo otro,otro,columna protegida (tipo 'otro')
issues_df,type,no modificada,str,solo un tipo
issues_df,event_std,no modificada,str,solo un tipo
issues_data_df,athlete_id,modificada,"num,str",athlete_id → convertir todos a str
issues_data_df,data_Dorsal entregado,modificada,"nulo,str,vacio",nulo → ''
issues_data_df,data_LICENCIA,modificada,"nulo,str",nulo → ''
issues_data_df,data_Licencia,modificada,"nulo,str,vacio",nulo → ''
issues_data_df,data_MEDALLA,modificada,"nulo,str",nulo → ''
issues_data_df,data_TALLA,modificada,"nulo,str",nulo → ''
issues_data_df,data_TIEMPO ESTIMADO,modificada,"nulo,str,vacio",nulo → ''
issues_data_df,data_Teléfono emergencia,modificada,"nulo,str,vacio",nulo → ''
issues_data_df,data_birthdate,tipo otro,"nulo,otro",columna protegida (tipo 'otro')
issues_data_df,data_club,modificada,"nulo,str",nulo → ''
issues_data_df,data_document,modificada,"nulo,str,vacio",nulo → ''
issues_data_df,data_e-mail,modificada,"nulo,str,vacio",nulo → ''
issues_data_df,data_gender,modificada,"nulo,str",nulo → ''
issues_data_df,data_name,modificada,"nulo,str",nulo → ''
issues_data_df,data_nationality,modificada,"nulo,str,vacio",nulo → ''
issues_data_df,data_pais,modificada,"nulo,str",nulo → ''
issues_data_df,data_phone,modificada,"nulo,str,vacio",nulo → ''
issues_data_df,data_statusNote,modificada,"nulo,str,vacio",nulo → ''
issues_data_df,data_surname,modificada,"nulo,str",nulo → ''
issues_data_df,event_id,clave protegida,str,columna protegida (clave)
issues_data_df,issue_id,clave protegida,str,columna protegida (clave)
issues_data_df,race_id,clave protegida,str,columna protegida (clave)
issues_data_df,event_std,no modificada,str,solo un tipo
issues_events_df,athlete_id,modificada,"num,str",athlete_id → convertir todos a str
issues_events_df,data_events_attributes_ADVENTURE,modificada,"nulo,str,vacio",nulo → ''
issues_events_df,data_events_attributes_D. Fisico/Intelectual,modificada,"nulo,str,vacio",nulo → ''
issues_events_df,data_events_attributes_Discapacitado intelectual,modificada,"nulo,str,vacio",nulo → ''
issues_events_df,data_events_attributes_Discapacitado visual,modificada,"nulo,str,vacio",nulo → ''
issues_events_df,data_events_attributes_Españoles,modificada,"nulo,str,vacio",nulo → ''
issues_events_df,data_events_attributes_Fed. AD Maratón,modificada,"nulo,str,vacio",nulo → ''
issues_events_df,data_events_attributes_Sillas,modificada,"nulo,str,vacio",nulo → ''
issues_events_df,data_events_auto_category,modificada,"nulo,num,vacio",vacio → NaN
issues_events_df,data_events_auto_chip,modificada,"num,vacio",vacio → NaN
issues_events_df,data_events_category,sin regla aplicable,"str,vacio",no hay regla para esta combinación de tipos
issues_events_df,data_events_dorsal,modificada,"nulo,num,str,vacio","num → str, nulo → ''"
issues_events_df,data_events_gunTime,tipo otro,"nulo,otro",columna protegida (tipo 'otro')
issues_events_df,data_events_gunTimeMode,modificada,"nulo,str,vacio",nulo → ''
issues_events_df,data_events_gunTimeModeConfig_wave,sin regla aplicable,"str,vacio",no hay regla para esta combinación de tipos
issues_events_df,data_events_status,sin regla aplicable,"str,vacio",no hay regla para esta combinación de tipos
issues_events_df,data_events_team,modificada,"nulo,str,vacio",nulo → ''
issues_events_df,data_events_times_10K_time,modificada,"nulo,num,vacio",vacio → NaN
issues_events_df,data_events_times_15K_time,modificada,"nulo,num,vacio",vacio → NaN
issues_events_df,data_events_times_19K_time,modificada,"nulo,num,vacio",vacio → NaN
issues_events_df,data_events_times_20K_time,modificada,"nulo,num,vacio",vacio → NaN
issues_events_df,data_events_times_5K_time,modificada,"nulo,num,vacio",vacio → NaN
issues_events_df,data_events_times_CP3_time,modificada,"nulo,num,vacio",vacio → NaN
issues_events_df,data_events_times_CP4_time,modificada,"nulo,num,vacio",vacio → NaN
issues_events_df,data_events_times_EH2_time,modificada,"nulo,num,vacio",vacio → NaN
issues_events_df,data_events_times_Meta_time,modificada,"num,vacio",vacio → NaN
issues_events_df,data_events_times_Salida_time,modificada,"num,vacio",vacio → NaN
issues_events_df,event_id,clave protegida,str,columna protegida (clave)
issues_events_df,issue_id,clave protegida,str,columna protegida (clave)
issues_events_df,race_id,clave protegida,str,columna protegida (clave)
issues_events_df,event_std,no modificada,str,solo un tipo
issues_times_df,athlete_id,modificada,"num,str",athlete_id → convertir todos a str
issues_times_df,event_id,clave protegida,str,columna protegida (clave)
issues_times_df,issue_id,clave protegida,str,columna protegida (clave)
issues_times_df,race_id,clave protegida,str,columna protegida (clave)
issues_times_df,split,no modificada,str,solo un tipo
issues_times_df,time,no modificada,num,solo un tipo
issues_times_df,event_std,no modificada,str,solo un tipo
issues_times_df,time_td,tipo otro,otro,columna protegida (tipo 'otro')
